fam;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;teacher
id-77;0,4;0,8;0,05;0,11;-0,3;-1;-1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
id-79;0,4;0,6;0,48;0,24;-0,2;-0,56;-1;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-81;0,6;0,8;0,4;0,24;-0,2;0,33;0,5;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;5
id-82;0,6;1;0,01;0,11;-0,3;-0,11;-0,5;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-83;-0,4;-0,4;0,43;-0,02;-0,1;-0,56;-0,5;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-84;0,4;0,4;0,55;0,33;-0,25;-0,33;0,5;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-85;0,4;0,6;-0,16;0,11;-0,4;-0,33;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-87;0,6;0,6;0,4;0,16;-0,2;-0,56;-0,5;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-88;0,6;0,6;0,16;0,16;-0,35;-0,33;-0,5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-89;0,4;0,6;0,04;0,02;-0,35;-1;-1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-90;0,6;0,6;-0,08;0,02;-0,35;-0,56;-1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-91;0,6;0,8;0,09;0,16;-0,3;-0,78;-1;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5
id-92;0,6;0,8;0,15;0,2;-0,35;-1;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-95;0,4;0,6;0,45;0,24;-0,25;-0,33;-0,5;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-97;0,4;0,4;-0,18;0,02;-0,3;-0,11;-1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
id-98;0,6;0,6;0,12;0,16;-0,3;-0,56;-1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-99;0,4;0,4;0,46;0,2;-0,2;-0,56;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-100;0;0;-0,53;-0,11;-0,6;-1;-1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
id-102;0,6;0,6;0,74;0,51;-0,15;-0,78;-0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-104;0,4;0,4;0,4;0,24;-0,25;-0,56;-0,5;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-105;0,2;0,4;-0,03;0,16;-0,35;-1;-1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-106;0;0;0,05;0,11;-0,25;-1;-1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-107;0,2;0,4;0,23;0,2;-0,25;-1;-1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-108;0,8;1;0,12;0,11;-0,3;-1;-1;1;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
id-109;0,4;0,8;-0,08;0,02;-0,4;-0,56;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-111;0,2;0,2;-0,27;0,02;-0,1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-112;0,2;0,4;0,17;0,2;-0,3;-1;-1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-113;0,6;0,8;0,2;0,24;-0,25;-1;-1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-114;0,4;0,4;0,05;0,07;-0,28;-1;-1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-115;0,8;0,8;0,55;0,56;-0,25;-1;-1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-116;0,2;0,6;0,4;0,29;-0,35;-1;-1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-118;0,4;0,4;-0,09;0,07;-0,4;0,56;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-119;0,2;0,4;0,35;0,24;-0,05;-1;-1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-121;0,4;0,8;0,23;0,2;-0,3;-0,11;-0,5;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-122;0,6;0,8;-0,23;-0,07;-0,4;-0,33;-0,5;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-123;0,4;0,6;0,19;0,11;-0,3;-0,56;-0,5;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-124;0,4;0,4;-0,03;0,16;-0,3;-1;-1;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-125;0;0,6;0,85;0,56;-0,15;0,33;-0,5;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-126;0,6;0,8;0,33;0,29;-0,25;-1;-1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5
id-129;0,6;0,8;0,23;0,2;-0,3;-0,56;-0,5;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-130;-0,6;0,6;0,08;0,16;-0,3;-0,78;-1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-131;0,4;0,6;0,45;0,29;-0,3;-0,11;-0,5;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
id-132;0,6;0,8;-0,18;0,02;-0,4;-1;-1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;5
id-133;0,6;0,8;0,24;0,16;-0,35;-1;-1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;5
id-134;0,6;0,6;0,05;0,2;-0,45;-0,11;-0,5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-135;0,6;0,8;0;0,16;-0,3;-0,11;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-136;0,6;0,8;0,4;0,38;-0,25;-1;-1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;5
id-138;0,6;0,6;0,25;0,33;-0,25;-1;-1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-140;0,4;0,6;-0,09;0,07;-0,4;-1;-1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-143;0,2;0,6;0,49;0,11;-0,25;-0,78;-0,5;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;5
id-144;0,4;0,6;0,5;0,29;-0,2;-0,33;-1;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-145;0,6;0,8;-0,05;0,11;-0,35;-1;-1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-146;0,4;0,6;0,23;0,24;-0,3;-1;-1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-147;0,6;0,6;0,12;0,16;-0,3;-1;-1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
id-148;0,6;0,6;-0,18;0,11;-0,4;0,11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-149;0,6;0,8;0,2;0,16;-0,3;-0,78;-1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-150;0,6;0,8;0,05;0,11;-0,2;-0,33;-1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;5
id-152;0,6;0,6;0,29;0,24;-0,3;-1;-1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-154;0,6;0,8;0,09;0,24;-0,25;-1;-1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-155;0,4;0,6;0,09;0,24;-0,35;-1;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-156;0,4;0,6;0,44;0,2;-0,25;-1;-1;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-158;0,6;0,6;-0,13;0,16;-0,5;-0,78;-1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-161;0,2;0,4;0,05;0,33;-0,3;-1;-1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-162;0,4;0,4;0,31;0,24;-0,3;-0,78;-1;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-164;0,6;0,6;0,03;0,2;-0,3;-1;-1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-167;0,4;0,6;-0,17;0,07;-0,35;-1;-1;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
id-168;0,4;0,8;0,19;0,11;-0,35;-1;-1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-169;0,6;0,8;-0,05;0,07;-0,3;-1;-1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-170;0,6;1;0,1;0,2;-0,3;-0,78;-0,5;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-171;0,6;0,8;0,08;0,11;-0,4;-1;-1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-173;0,6;0,8;0,28;0,16;-0,25;-1;-1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-174;0,6;0,6;0,23;0,16;-0,35;-0,78;-1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-176;0,6;0,8;-0,25;-0,07;-0,4;-0,56;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-177;0,8;1;0,31;0,11;-0,35;-1;-1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-178;0,4;0,6;-0,02;0,2;-0,35;-1;-1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-179;0,6;0,6;0,3;0,24;-0,3;-0,78;-0,5;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5
id-180;0,6;0,6;0,5;0,56;-0,1;-1;-1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-181;0,6;0,6;0,73;0,24;-0,3;-0,78;-0,5;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-182;0,6;0,8;0,63;0,42;-0,2;-1;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-183;0,4;0,6;0,1;0,11;-0,3;-1;-1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-184;0,6;0,6;0,5;0,2;-0,45;-1;-1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-186;0,6;0,8;0,1;0,2;-0,25;-0,78;-1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-191;0,4;0,6;0,32;0,24;-0,2;-1;-1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
id-192;0,4;0,6;0;0,16;-0,2;-1;-1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-193;0,6;0,8;0;0,11;-0,35;-0,78;-0,5;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-194;0,4;0,4;0,17;0,16;-0,35;-1;-1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-196;0,6;0,8;0,44;0,24;-0,25;-1;-1;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-197;0,6;0,8;0,22;0,16;-0,35;-0,78;-0,5;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-198;0,6;0,8;-0,05;0,11;-0,3;-1;-1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;5
